,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,-0.06437468528747559,0.02599753811955452
1,00,raya,2,-0.05172105133533478,-0.020251179113984108
2,01,llama,1,-0.1229737251996994,-0.11405907571315765
3,01,llama,2,-0.02566218003630638,-0.036738406866788864
4,02,salamandra,1,-0.10168973356485367,-0.0727965384721756
5,02,salamandra,2,-0.1260555386543274,-0.11588636785745621
6,03,muñeca,1,-0.0748569667339325,-0.08457677066326141
7,03,muñeca,2,-0.09499959647655487,-0.08925962448120117
8,04,palma,1,-0.05995386466383934,-0.04508192464709282
9,04,palma,2,-0.07511819899082184,-0.03906330466270447
10,05,peso,1,-0.040080077946186066,-0.03784159943461418
11,05,peso,2,-0.007998369634151459,-0.0054770540446043015
12,06,banco,1,-0.1306406706571579,-0.0919140949845314
13,06,banco,2,-0.08409395068883896,-0.05896836891770363
14,07,tarjeta,1,-0.07293172180652618,-0.03804764896631241
15,07,tarjeta,2,-0.025164224207401276,-0.002359911799430847
16,08,granada,1,-0.08178319782018661,-0.07912346720695496
17,08,granada,2,-0.05841342359781265,-0.032991793006658554
18,09,lima,1,-0.07685238122940063,-0.0134987011551857
19,09,lima,2,-0.0644054114818573,-0.0529562383890152
20,10,mango,1,-0.06329278647899628,-0.051876068115234375
21,10,mango,2,-0.06120287626981735,-0.06442977488040924
22,11,copa,1,-0.10420751571655273,-0.11035043001174927
23,11,copa,2,-0.06038075312972069,-0.10187522321939468
24,12,arco,1,-0.10852654278278351,-0.07819129526615143
25,12,arco,2,-0.018047798424959183,-0.030196402221918106
26,13,penal,1,-0.12407103180885315,-0.11710018664598465
27,13,penal,2,-0.06961283832788467,-0.05043163523077965
28,14,pico,1,-0.07417955249547958,-0.03302805870771408
29,14,pico,2,-0.09831371903419495,-0.0560130812227726
30,15,cabo,1,-0.06637203693389893,-0.009561624377965927
31,15,cabo,2,-0.052811119705438614,-0.03852851316332817
32,16,sierra,1,-0.10079604387283325,-0.014934688806533813
33,16,sierra,2,-0.06774763762950897,-0.0731973797082901
34,17,cólera,1,-0.08308487385511398,-0.03183906152844429
35,17,cólera,2,-0.026819953694939613,-0.039327383041381836
36,18,buzo,1,-0.127109557390213,-0.07940632849931717
37,18,buzo,2,-0.0982133150100708,-0.01095165777951479
38,19,sostén,1,-0.0964256227016449,-0.0048774369060993195
39,19,sostén,2,-0.0727153867483139,-0.025395318865776062
40,20,taco,1,-0.09452769160270691,-0.03611807897686958
41,20,taco,2,-0.09801433980464935,-0.021521929651498795
42,21,pluma,1,-0.040534667670726776,-0.04192785918712616
43,21,pluma,2,-0.07704126089811325,-0.0625331699848175
44,23,regla,1,-0.08348064124584198,-0.06694845855236053
45,23,regla,2,-0.05471005290746689,-0.043291181325912476
46,24,goma,1,-0.044737040996551514,-0.04746304079890251
47,24,goma,2,-0.09121277183294296,-0.05455804988741875
48,25,raíz,1,-0.10112795233726501,-0.009464811533689499
49,25,raíz,2,-0.05756162479519844,-0.014792906120419502
50,26,cuarto,1,-0.04600903391838074,0.04858282953500748
51,26,cuarto,2,0.01314515806734562,0.045090049505233765
52,27,medio,1,-0.10923779010772705,-0.09141744673252106
53,27,medio,2,-0.05371076986193657,-0.07485659420490265
54,28,cuenta,1,-0.05314218997955322,-0.04525814950466156
55,28,cuenta,2,-0.027897104620933533,-0.013829786330461502
56,29,nota,1,-0.11655324697494507,-0.09316261112689972
57,29,nota,2,-0.07913106679916382,-0.0651058554649353
58,30,órgano,1,-0.08224219083786011,-0.05328339338302612
59,30,órgano,2,-0.025055276229977608,0.01611306145787239
60,31,batería,1,-0.11754381656646729,-0.05971231311559677
61,31,batería,2,-0.020437046885490417,-0.026448730379343033
62,32,izquierda,1,-0.1432693749666214,-0.011726969853043556
63,32,izquierda,2,-0.07072615623474121,-0.06004389375448227
64,33,partido,1,-0.024725250899791718,-0.049025438725948334
65,33,partido,2,-0.06608816981315613,-0.040430642664432526
66,34,campaña,1,-0.09637270867824554,-0.08639536798000336
67,34,campaña,2,-0.13382969796657562,-0.14145295321941376
68,35,estado,1,-0.10095293819904327,-0.05730412155389786
69,35,estado,2,-0.0455036386847496,0.022601645439863205
70,36,pastor,1,-0.006563074886798859,-0.06539040058851242
71,36,pastor,2,-0.05020364746451378,-0.09747172892093658
72,37,oración,1,-0.03560655564069748,-0.018710747361183167
73,37,oración,2,-0.09008582681417465,-0.07648799568414688
74,38,función,1,-0.08850165456533432,-0.059140659868717194
75,38,función,2,-0.08976173400878906,-0.040011800825595856
76,39,obra,1,-0.0620291531085968,-0.02136274427175522
77,39,obra,2,-0.0752192810177803,-0.019227810204029083
78,40,plataforma,1,-0.01803656294941902,-0.011670924723148346
79,40,plataforma,2,-0.06896263360977173,-0.017158405855298042
80,41,viral,1,-0.11826243996620178,-0.09255174547433853
81,41,viral,2,-0.11812368780374527,-0.06341350078582764
82,42,red,1,-0.05581299215555191,-0.001710783690214157
83,42,red,2,-0.032519642263650894,-0.03916489705443382
84,43,aplicación,1,-0.09845307469367981,-0.05019364878535271
85,43,aplicación,2,-0.09696447849273682,-0.05006112903356552
86,44,expreso,1,0.02670815959572792,0.019695013761520386
87,44,expreso,2,-0.09242778271436691,-0.09927739202976227
88,45,móvil,1,-0.04392656311392784,-0.07124125957489014
89,45,móvil,2,-0.06042895093560219,-0.043025482445955276
90,46,metro,1,-0.058864444494247437,-0.05254088342189789
91,46,metro,2,-0.1543031930923462,-0.1271313726902008
92,47,estación,1,-0.09625556319952011,-0.08335916697978973
93,47,estación,2,-0.10132133960723877,-0.05326562002301216
