,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,-0.058801814913749695,-0.03749888017773628
1,00,raya,2,-0.058801814913749695,-0.0579679012298584
2,01,llama,1,-0.11839010566473007,-0.11463280022144318
3,01,llama,2,-0.11839010566473007,-0.12092453241348267
4,02,salamandra,1,-0.04161827266216278,-0.036429692059755325
5,02,salamandra,2,-0.04161827266216278,-0.03577627241611481
6,03,muñeca,1,-0.07758058607578278,-0.06584423035383224
7,03,muñeca,2,-0.07758058607578278,-0.05849680304527283
8,04,palma,1,-0.09153842180967331,-0.07052512466907501
9,04,palma,2,-0.09153842180967331,-0.07136000692844391
10,05,peso,1,-0.08783141523599625,-0.09301865100860596
11,05,peso,2,-0.08783141523599625,-0.08989923447370529
12,06,banco,1,-0.02321755327284336,-0.04754529148340225
13,06,banco,2,-0.02321755327284336,-0.03362575173377991
14,07,tarjeta,1,-0.08201479911804199,-0.08587795495986938
15,07,tarjeta,2,-0.08201479911804199,-0.08304840326309204
16,08,granada,1,-0.10403205454349518,-0.08807298541069031
17,08,granada,2,-0.10403205454349518,-0.09516972303390503
18,09,lima,1,0.020284846425056458,-0.0026063346303999424
19,09,lima,2,0.020284846425056458,0.024870961904525757
20,10,mango,1,-0.04492178559303284,-0.034090206027030945
21,10,mango,2,-0.04492178559303284,-0.05327998101711273
22,11,copa,1,-0.0605822429060936,-0.04822642356157303
23,11,copa,2,-0.0605822429060936,-0.043523162603378296
24,12,arco,1,-0.030964571982622147,-0.05930188298225403
25,12,arco,2,-0.030964571982622147,-0.037351980805397034
26,13,penal,1,-0.02890693210065365,-0.0405980683863163
27,13,penal,2,-0.02890693210065365,-0.04622717201709747
28,14,pico,1,-0.0801701545715332,-0.09867538511753082
29,14,pico,2,-0.0801701545715332,-0.06728708744049072
30,15,cabo,1,-0.08066143840551376,-0.09564603865146637
31,15,cabo,2,-0.08066143840551376,-0.07247921079397202
32,16,sierra,1,-0.04327339679002762,-0.03602178394794464
33,16,sierra,2,-0.04327339679002762,-0.05567334219813347
34,17,cólera,1,-0.10822747647762299,-0.10437668859958649
35,17,cólera,2,-0.10822747647762299,-0.10333974659442902
36,18,buzo,1,0.03461158648133278,0.02960057556629181
37,18,buzo,2,0.03461158648133278,0.019794132560491562
38,19,sostén,1,-0.05510612577199936,-0.04331378638744354
39,19,sostén,2,-0.05510612577199936,-0.06746508181095123
40,20,taco,1,0.027464134618639946,0.058864764869213104
41,20,taco,2,0.027464134618639946,0.08849754184484482
42,21,pluma,1,-0.05817921832203865,-0.061631426215171814
43,21,pluma,2,-0.05817921832203865,-0.058932866901159286
44,23,regla,1,-0.03769177198410034,-0.03733118623495102
45,23,regla,2,-0.03769177198410034,-0.06103730946779251
46,24,goma,1,-0.010045090690255165,-0.02255861647427082
47,24,goma,2,-0.010045090690255165,-0.012545401230454445
48,25,raíz,1,-0.01771399937570095,-0.0420544296503067
49,25,raíz,2,-0.01771399937570095,-0.026931364089250565
50,26,cuarto,1,-0.06085614114999771,-0.037568069994449615
51,26,cuarto,2,-0.06085614114999771,-0.046940356492996216
52,27,medio,1,-0.04058545082807541,-0.07293429225683212
53,27,medio,2,-0.04058545082807541,-0.06304488331079483
54,28,cuenta,1,-0.02209644578397274,-0.020964672788977623
55,28,cuenta,2,-0.02209644578397274,-0.03871550410985947
56,29,nota,1,-0.057721495628356934,-0.06302911788225174
57,29,nota,2,-0.057721495628356934,-0.06556201726198196
58,30,órgano,1,-0.05760762840509415,-0.07316074520349503
59,30,órgano,2,-0.05760762840509415,-0.08040080964565277
60,31,batería,1,-0.06186981499195099,-0.09850668907165527
61,31,batería,2,-0.06186981499195099,-0.0883243978023529
62,32,izquierda,1,-0.07749786972999573,-0.05258911848068237
63,32,izquierda,2,-0.07749786972999573,-0.08579753339290619
64,33,partido,1,-0.037947122007608414,-0.06901929527521133
65,33,partido,2,-0.037947122007608414,-0.07062593847513199
66,34,campaña,1,-0.07473618537187576,-0.09928017854690552
67,34,campaña,2,-0.07473618537187576,-0.07030788064002991
68,35,estado,1,-0.07116265594959259,-0.04799436777830124
69,35,estado,2,-0.07116265594959259,-0.054412245750427246
70,36,pastor,1,-0.0507245697081089,-0.06514298170804977
71,36,pastor,2,-0.0507245697081089,-0.06439035385847092
72,37,oración,1,-0.05065901577472687,-0.05507577210664749
73,37,oración,2,-0.05065901577472687,-0.053370941430330276
74,38,función,1,-0.05946286395192146,-0.08631831407546997
75,38,función,2,-0.05946286395192146,-0.059918321669101715
76,39,obra,1,-0.10303935408592224,-0.08697405457496643
77,39,obra,2,-0.10303935408592224,-0.08886773884296417
78,40,plataforma,1,-0.07763396948575974,-0.0891537219285965
79,40,plataforma,2,-0.07763396948575974,-0.08192715793848038
80,41,viral,1,-0.11300267279148102,-0.08971071243286133
81,41,viral,2,-0.11300267279148102,-0.07710568606853485
82,42,red,1,0.015847258269786835,-0.038555994629859924
83,42,red,2,0.015847258269786835,-0.02286934107542038
84,43,aplicación,1,-0.08454671502113342,-0.10100538283586502
85,43,aplicación,2,-0.08454671502113342,-0.11056692153215408
86,44,expreso,1,-0.01768934354186058,-0.04769349470734596
87,44,expreso,2,-0.01768934354186058,-0.02304380014538765
88,45,móvil,1,-0.0947989672422409,-0.06967426836490631
89,45,móvil,2,-0.0947989672422409,-0.09609591960906982
90,46,metro,1,-0.05438956245779991,-0.04399222135543823
91,46,metro,2,-0.05438956245779991,-0.04881910979747772
92,47,estación,1,-0.06620153784751892,-0.0664052665233612
93,47,estación,2,-0.06620153784751892,-0.08755768090486526
