,0,1,2,3,4,5,6
0,0,1,-0.04641732573509216,-0.0021192654967308044,2,-0.06741472333669662,-0.05845411866903305
1,1,1,-0.10103302448987961,-0.08546708524227142,2,-0.06294147670269012,-0.0448867604136467
2,2,1,-0.045353762805461884,-0.028485029935836792,2,-0.12583790719509125,-0.1463330239057541
3,3,1,-0.019786618649959564,-0.023101063445210457,2,-0.08699531853199005,-0.07288169115781784
4,4,1,-0.025619767606258392,-0.02889244444668293,2,-0.06524653732776642,-0.05757438763976097
5,5,1,-0.03784673660993576,-0.014165247790515423,2,0.01456238329410553,0.0233211200684309
6,6,1,-0.09443981945514679,-0.10615511983633041,2,-0.14720574021339417,-0.12019160389900208
7,7,1,-0.12247423827648163,-0.11961314082145691,2,-0.14926719665527344,-0.11772933602333069
8,8,1,-0.11954356729984283,-0.11096261441707611,2,-0.08399956673383713,-0.08629939705133438
9,9,1,-0.1125033050775528,-0.07025491446256638,2,-0.12451788783073425,-0.09620334208011627
10,10,1,-0.08177832514047623,-0.056886401027441025,2,-0.07522895187139511,-0.058142416179180145
11,11,1,-0.1018381267786026,-0.08538945019245148,2,-0.10047249495983124,-0.1013607606291771
12,12,1,-0.10386574268341064,-0.09611685574054718,2,-0.05474228039383888,-0.04528612643480301
13,13,1,-0.07811857759952545,-0.060160450637340546,2,-0.017112094908952713,-0.03228182718157768
14,14,1,-0.10459078848361969,-0.12397409975528717,2,-0.06998153030872345,-0.05985058844089508
15,15,1,-0.11520982533693314,-0.11000333726406097,2,-0.0024083396419882774,-0.004158487543463707
16,16,1,-0.09001629054546356,-0.054891187697649,2,-0.04527999460697174,-0.04952550679445267
17,17,1,-0.04207603633403778,-0.011208632960915565,2,-0.06988389790058136,-0.04328445345163345
18,18,1,-0.13640610873699188,-0.08400438725948334,2,-0.14797595143318176,-0.14586855471134186
19,19,1,0.0011850185692310333,0.01793741062283516,2,-0.017675481736660004,-0.012786014936864376
20,20,1,-0.1574479639530182,-0.10415317118167877,2,-0.12532562017440796,-0.08325627446174622
21,21,1,-0.11095232516527176,-0.0996733009815216,2,-0.04995950311422348,-0.02128971368074417
22,22,1,-0.08233341574668884,-0.0754016637802124,2,-0.013380634598433971,0.01278066635131836
23,23,1,-0.11300285160541534,-0.1050274670124054,2,-0.016254501417279243,0.019264284521341324
24,24,1,0.0014282874763011932,0.0516982339322567,2,-0.03656233847141266,-0.032187074422836304
25,25,1,-0.10610108077526093,-0.07200807332992554,2,-0.09247355908155441,-0.04646441340446472
26,26,1,-0.03377373144030571,-0.006063361652195454,2,-0.012924300506711006,-0.02204875275492668
27,27,1,-0.0036141183227300644,0.008670799434185028,2,-0.04060254991054535,-0.03435410559177399
28,28,1,-0.05362413078546524,-0.038350529968738556,2,-0.06295463442802429,-0.0642748475074768
29,29,1,-0.06390488892793655,-0.006716983392834663,2,-0.05647489055991173,-0.03915766626596451
30,30,1,-0.0958954244852066,0.0010825395584106445,2,-0.02498706616461277,-0.017899028956890106
31,31,1,0.018597237765789032,0.1029585599899292,2,-0.08610790222883224,-0.09474217146635056
32,32,1,0.04675998166203499,0.011961061507463455,2,-0.05121956393122673,0.019270483404397964
33,33,1,0.04314207285642624,0.05250667780637741,2,-0.08162795007228851,-0.05357040464878082
34,34,1,0.01001272164285183,0.020668799057602882,2,-0.06198650225996971,-0.03721017390489578
35,35,1,-0.10415513813495636,-0.080694779753685,2,-0.10554365068674088,-0.10247960686683655
36,36,1,-0.04240281879901886,-0.039480213075876236,2,-0.11961974203586578,-0.10984867811203003
37,37,1,-0.003728271462023258,0.012524206191301346,2,-0.017229150980710983,0.00931660644710064
38,38,1,-0.001337861642241478,-0.0016619800589978695,2,-0.08646273612976074,-0.05422379821538925
39,39,1,-0.06311953067779541,-0.051381997764110565,2,-0.05658584088087082,-0.02944561466574669
40,40,1,-0.09682571887969971,-0.08192452788352966,2,-0.09951170533895493,-0.08179889619350433
41,41,1,-0.07175253331661224,-0.03643691912293434,2,-0.044755969196558,-0.03381502628326416
42,42,1,-0.010213952511548996,-0.03279644995927811,2,-0.005403170362114906,0.00401761569082737
43,43,1,0.008050341159105301,0.010140235535800457,2,-0.09244340658187866,-0.09265442192554474
44,44,1,-0.07266278564929962,-0.08108186721801758,2,-0.09079001843929291,-0.07940627634525299
45,45,1,-0.013599100522696972,-0.017804332077503204,2,-0.11286599934101105,-0.09855645895004272
46,46,1,-0.022157005965709686,-0.015659531578421593,2,-0.02702617086470127,-0.00541633740067482
