,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,0,0.016883503645658493,0.021206781268119812
1,00,raya,1,0.016883503645658493,0.01845964603126049
2,01,llama,0,0.031027672812342644,0.039874471724033356
3,01,llama,1,-0.031027672812342644,-0.0354958102107048
4,02,salamandra,0,0.03664941340684891,0.03299444168806076
5,02,salamandra,1,0.03664941340684891,0.03220567852258682
6,03,muñeca,0,-0.020283948630094528,-0.018978463485836983
7,03,muñeca,1,0.020283948630094528,0.01939305290579796
8,04,palma,0,-0.014277189038693905,-0.00875075999647379
9,04,palma,1,0.014277189038693905,0.006246352568268776
10,05,peso,0,0.013039171695709229,0.011795835569500923
11,05,peso,1,-0.013039171695709229,-0.016291368752717972
12,06,banco,0,0.025705458596348763,0.01376613974571228
13,06,banco,1,0.025705458596348763,0.033124104142189026
14,07,tarjeta,0,0.015150900930166245,0.015702806413173676
15,07,tarjeta,1,0.015150900930166245,0.02378373220562935
16,08,granada,0,0.013395808637142181,0.013285472989082336
17,08,granada,1,0.013395808637142181,0.011098392307758331
18,09,lima,0,0.028494860976934433,0.03179088979959488
19,09,lima,1,0.028494860976934433,0.03031214326620102
20,10,mango,0,0.022523533552885056,0.017977219074964523
21,10,mango,1,0.022523533552885056,0.01287289708852768
22,11,copa,0,0.022980162873864174,0.02225247398018837
23,11,copa,1,0.02298017218708992,0.017498692497611046
24,12,arco,0,0.02137056551873684,0.028644856065511703
25,12,arco,1,0.02137056551873684,0.02245423197746277
26,13,penal,0,0.015011502429842949,0.017808947712183
27,13,penal,1,-0.015011502429842949,-0.0196023378521204
28,14,pico,0,0.008605855517089367,0.017263025045394897
29,14,pico,1,0.008605855517089367,0.009918618947267532
30,15,cabo,0,0.021808188408613205,0.024200348183512688
31,15,cabo,1,-0.021808188408613205,-0.017639005556702614
32,16,sierra,0,0.016040503978729248,0.01375107653439045
33,16,sierra,1,0.016040503978729248,0.016058683395385742
34,17,cólera,0,0.0331709086894989,0.03079608827829361
35,17,cólera,1,0.0331709086894989,0.034764744341373444
36,18,buzo,0,0.033111896365880966,0.03320956975221634
37,18,buzo,1,0.033111896365880966,0.028923390433192253
38,19,sostén,0,0.02606980875134468,0.01880139298737049
39,19,sostén,1,0.02606980875134468,0.025502294301986694
40,20,taco,0,0.03340806066989899,0.03428968787193298
41,20,taco,1,-0.033408064395189285,-0.03398134559392929
42,21,pluma,0,0.0123534444719553,0.016028955578804016
43,21,pluma,1,0.0123534444719553,0.01946357637643814
44,23,regla,0,0.027210457250475883,0.02453397400677204
45,23,regla,1,-0.027210457250475883,-0.02097897231578827
46,24,goma,0,0.014977868646383286,0.020438682287931442
47,24,goma,1,0.014977872371673584,0.012591961771249771
48,25,raíz,0,0.02140711061656475,0.022702205926179886
49,25,raíz,1,0.021407118067145348,0.02417576126754284
50,26,cuarto,0,0.014573479071259499,0.029615286737680435
51,26,cuarto,1,0.014573479071259499,0.025101836770772934
52,27,medio,0,0.03017084114253521,0.03601004183292389
53,27,medio,1,0.030170831829309464,0.034521423280239105
54,28,cuenta,0,0.026343047618865967,0.02594049461185932
55,28,cuenta,1,0.026343053206801414,0.024048645049333572
56,29,nota,0,-0.015328613109886646,-0.017332887277007103
57,29,nota,1,0.01532861590385437,0.012213269248604774
58,30,órgano,0,-0.014480136334896088,-0.0028038732707500458
59,30,órgano,1,0.014480136334896088,0.01509853545576334
60,31,batería,0,-0.02187519147992134,-0.016189638525247574
61,31,batería,1,0.02187519147992134,0.011057501658797264
62,32,izquierda,0,-0.030540097504854202,-0.019184276461601257
63,32,izquierda,1,0.030540097504854202,0.03004693053662777
64,33,partido,0,-0.029383594170212746,-0.03365769982337952
65,33,partido,1,0.029383594170212746,0.032115764915943146
66,34,campaña,0,-0.011364603415131569,-0.018222758546471596
67,34,campaña,1,0.011364603415131569,0.01178201287984848
68,35,estado,0,-0.034238073974847794,-0.0329936221241951
69,35,estado,1,0.034238073974847794,0.03797490894794464
70,36,pastor,0,0.01673715189099312,0.019031599164009094
71,36,pastor,1,0.01673715189099312,0.009476298466324806
72,37,oración,0,0.031712792813777924,0.02736881747841835
73,37,oración,1,-0.031712792813777924,-0.02795439213514328
74,38,función,0,0.017425427213311195,0.015255443751811981
75,38,función,1,0.017425432801246643,0.0277799554169178
76,39,obra,0,0.01731881871819496,0.011328310705721378
77,39,obra,1,0.01731881871819496,0.014511915855109692
78,40,plataforma,0,0.018017712980508804,0.004764453042298555
79,40,plataforma,1,0.018017716705799103,0.014363551512360573
80,41,viral,0,0.03787393495440483,0.03567146882414818
81,41,viral,1,0.03787393495440483,0.037075504660606384
82,42,red,0,0.02628336474299431,0.026813440024852753
83,42,red,1,0.02628336474299431,0.01892835646867752
84,43,aplicación,0,0.02393006905913353,0.023726321756839752
85,43,aplicación,1,0.02393006905913353,0.0209476538002491
86,44,expreso,0,0.0253281407058239,0.022708848118782043
87,44,expreso,1,-0.025328148156404495,-0.024510152637958527
88,45,móvil,0,0.03697511926293373,0.033785201609134674
89,45,móvil,1,0.03697511926293373,0.030650939792394638
90,46,metro,0,0.027055704966187477,0.025969265028834343
91,46,metro,1,0.027055704966187477,0.027859413996338844
92,47,estación,0,0.024275895208120346,0.013181221671402454
93,47,estación,1,0.024275895208120346,0.02125958912074566
