,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,1,0.03994747996330261,-0.07687980681657791
1,00,raya,2,-0.07183331251144409,-0.09737629443407059
2,01,llama,1,-0.08249965310096741,-0.09035032987594604
3,01,llama,2,-0.10056572407484055,-0.16040748357772827
4,02,salamandra,1,-0.04141376167535782,-0.10388089716434479
5,02,salamandra,2,-0.11323107779026031,-0.0686413049697876
6,03,muñeca,1,-0.09451889246702194,-0.025639716535806656
7,03,muñeca,2,-0.07885859906673431,0.025423265993595123
8,04,palma,1,0.07936545461416245,-0.056209761649370193
9,04,palma,2,-0.04827136546373367,-0.04373297467827797
10,05,peso,1,0.05144863575696945,-0.05810767784714699
11,05,peso,2,-0.02928629145026207,-0.04253639280796051
12,06,banco,1,-0.06918101012706757,-0.16298270225524902
13,06,banco,2,-0.03394606336951256,-0.10305014252662659
14,07,tarjeta,1,-0.07498002052307129,-0.07719472795724869
15,07,tarjeta,2,-0.05698077008128166,-0.06242702901363373
16,08,granada,1,-0.05053678900003433,-0.08398230373859406
17,08,granada,2,-0.06274613738059998,-0.13906186819076538
18,09,lima,1,-0.0992913767695427,-0.0686769187450409
19,09,lima,2,-0.07645609974861145,-0.14044874906539917
20,10,mango,1,-0.06061335653066635,-0.0958593562245369
21,10,mango,2,-0.05785933881998062,-0.0880950316786766
22,11,copa,1,-0.07422138750553131,-0.11605610698461533
23,11,copa,2,-0.014429399743676186,-0.10099522024393082
24,12,arco,1,-0.08958393335342407,-0.08080627024173737
25,12,arco,2,-0.03081473708152771,-0.1651335060596466
26,13,penal,1,-0.05612051486968994,-0.05620506405830383
27,13,penal,2,-0.06904639303684235,0.01755419746041298
28,14,pico,1,-0.07643051445484161,-0.04067353904247284
29,14,pico,2,-0.01896984875202179,-0.10918832570314407
30,15,cabo,1,-0.05544864013791084,-0.06342986226081848
31,15,cabo,2,-0.0741695910692215,-0.11235363781452179
32,16,sierra,1,-0.04198813438415527,-0.11521026492118835
33,16,sierra,2,-0.1285175383090973,-0.07415203750133514
34,17,cólera,1,-0.08865637332201004,-0.08821447193622589
35,17,cólera,2,-0.0497913733124733,-0.0785844624042511
36,18,buzo,1,-0.15701702237129211,-0.03579919785261154
37,18,buzo,2,-0.15195782482624054,-0.12252910435199738
38,19,sostén,1,-0.09469515085220337,-0.02945758029818535
39,19,sostén,2,-0.08867530524730682,-0.038240253925323486
40,20,taco,1,-0.07903292775154114,-0.06167921796441078
41,20,taco,2,-0.09231102466583252,-0.07607385516166687
42,21,pluma,1,-0.12824676930904388,-0.10288968682289124
43,21,pluma,2,-0.10498396307229996,-0.059693269431591034
44,23,regla,1,-0.04405072331428528,-0.07705044746398926
45,23,regla,2,-0.06953278183937073,-0.10484769940376282
46,24,goma,1,-0.12408769130706787,-0.0890691876411438
47,24,goma,2,-0.08624035120010376,-0.11344052106142044
48,25,raíz,1,-0.1520053744316101,-0.11006668210029602
49,25,raíz,2,-0.015009038150310516,-0.10416898131370544
50,26,cuarto,1,-0.0840345174074173,-0.04152178764343262
51,26,cuarto,2,-0.042975082993507385,-0.08137461543083191
52,27,medio,1,-0.0536382719874382,-0.09233404695987701
53,27,medio,2,-0.0554916076362133,-0.0008848849684000015
54,28,cuenta,1,-0.08273518085479736,-0.07014326751232147
55,28,cuenta,2,-0.05380918085575104,-0.05660306289792061
56,29,nota,1,-0.09839114546775818,-0.08318059146404266
57,29,nota,2,0.01213807612657547,-0.04330474138259888
58,30,órgano,1,-0.07954734563827515,-0.06925119459629059
59,30,órgano,2,-0.010038698092103004,-0.08647921681404114
60,31,batería,1,-0.0909421443939209,-0.11906534433364868
61,31,batería,2,-0.16066434979438782,-0.09344980120658875
62,32,izquierda,1,-0.07299596071243286,-0.09261325001716614
63,32,izquierda,2,-0.10795432329177856,-0.1330418586730957
64,33,partido,1,-0.060222990810871124,-0.0857686847448349
65,33,partido,2,-0.06375133991241455,-0.11634692549705505
66,34,campaña,1,-0.09749451279640198,-0.01113758236169815
67,34,campaña,2,-0.11234802007675171,-0.1387210488319397
68,35,estado,1,-0.041720591485500336,-0.030608870089054108
69,35,estado,2,-0.13757210969924927,-0.08248669654130936
70,36,pastor,1,-0.06371208280324936,-0.1250905692577362
71,36,pastor,2,-0.10113095492124557,-0.1271601915359497
72,37,oración,1,-0.10841690003871918,-0.1319109946489334
73,37,oración,2,-0.1180315613746643,-0.07420487701892853
74,38,función,1,-0.07747084647417068,-0.0994810163974762
75,38,función,2,-0.06943818926811218,-0.10396191477775574
76,39,obra,1,-0.06437954306602478,-0.037752509117126465
77,39,obra,2,-0.033874329179525375,-0.089264877140522
78,40,plataforma,1,-0.14702241122722626,-0.08801355212926865
79,40,plataforma,2,-0.1159077063202858,-0.10371502488851547
80,41,viral,1,-0.09339001774787903,-0.05288173258304596
81,41,viral,2,-0.0797901451587677,-0.07473551481962204
82,42,red,1,-0.05903386324644089,-0.03865585848689079
83,42,red,2,-0.06657370924949646,-0.038474325090646744
84,43,aplicación,1,-0.07381788641214371,-0.05271630734205246
85,43,aplicación,2,-0.06703010201454163,-0.07739220559597015
86,44,expreso,1,-0.1358950436115265,-0.112167127430439
87,44,expreso,2,-0.1176220253109932,-0.09837299585342407
88,45,móvil,1,-0.07235905528068542,-0.039591193199157715
89,45,móvil,2,-0.09864558279514313,-0.002430276945233345
90,46,metro,1,-0.03841985762119293,-0.04034337401390076
91,46,metro,2,-0.06582432985305786,-0.06201782822608948
92,47,estación,1,-0.038222745060920715,-0.06700188666582108
93,47,estación,2,-0.0685996562242508,-0.07534883171319962
