,wordID,target,meaningID,sesgoBase,sesgoGen
0,00,raya,0,-0.06437469273805618,0.025997532531619072
1,00,raya,1,-0.05172106623649597,-0.020251184701919556
2,01,llama,0,-0.12297368794679642,-0.11405904591083527
3,01,llama,1,-0.025662165135145187,-0.03673839569091797
4,02,salamandra,0,-0.10168973356485367,-0.0727965384721756
5,02,salamandra,1,-0.1260555237531662,-0.1158863753080368
6,03,muñeca,0,-0.0748569592833519,-0.08457675576210022
7,03,muñeca,1,-0.09499958157539368,-0.08925959467887878
8,04,palma,0,-0.059953831136226654,-0.045081935822963715
9,04,palma,1,-0.07511821389198303,-0.039063356816768646
10,05,peso,0,-0.040080126374959946,-0.03784159943461418
11,05,peso,1,-0.007998378947377205,-0.005477072671055794
12,06,banco,0,-0.13064070045948029,-0.0919140949845314
13,06,banco,1,-0.08409392833709717,-0.058968331664800644
14,07,tarjeta,0,-0.07293171435594559,-0.038047656416893005
15,07,tarjeta,1,-0.025164267048239708,-0.0023598745465278625
16,08,granada,0,-0.08178321272134781,-0.07912345230579376
17,08,granada,1,-0.058413419872522354,-0.032991789281368256
18,09,lima,0,-0.07685238122940063,-0.013498693704605103
19,09,lima,1,-0.06440538167953491,-0.052956223487854004
20,10,mango,0,-0.06329279392957687,-0.05187606066465378
21,10,mango,1,-0.061202894896268845,-0.06442978978157043
22,11,copa,0,-0.10420754551887512,-0.11035044491291046
23,11,copa,1,-0.06038075312972069,-0.10187523066997528
24,12,arco,0,-0.10852652788162231,-0.07819128036499023
25,12,arco,1,-0.01804778166115284,-0.030196405947208405
26,13,penal,0,-0.12407101690769196,-0.11710017174482346
27,13,penal,1,-0.06961289793252945,-0.05043165758252144
28,14,pico,0,-0.07417956739664078,-0.033027999103069305
29,14,pico,1,-0.09831374883651733,-0.0560130774974823
30,15,cabo,0,-0.06637201458215714,-0.009561631828546524
31,15,cabo,1,-0.05281109735369682,-0.038528524339199066
32,16,sierra,0,-0.10079605877399445,-0.014934707432985306
33,16,sierra,1,-0.06774761527776718,-0.0731973797082901
34,17,cólera,0,-0.08308486640453339,-0.0318390317261219
35,17,cólera,1,-0.02681998908519745,-0.039327360689640045
36,18,buzo,0,-0.127109557390213,-0.07940634340047836
37,18,buzo,1,-0.0982133075594902,-0.010951628908514977
38,19,sostén,0,-0.09642563760280609,-0.004877444356679916
39,19,sostén,1,-0.07271537184715271,-0.025395313277840614
40,20,taco,0,-0.09452767670154572,-0.0361180454492569
41,20,taco,1,-0.09801432490348816,-0.021521946415305138
42,21,pluma,0,-0.04053465649485588,-0.041927874088287354
43,21,pluma,1,-0.07704122364521027,-0.06253313273191452
44,23,regla,0,-0.08348062634468079,-0.06694846600294113
45,23,regla,1,-0.054710038006305695,-0.043291181325912476
46,24,goma,0,-0.0447370745241642,-0.047463029623031616
47,24,goma,1,-0.09121275693178177,-0.05455801635980606
48,25,raíz,0,-0.10112795233726501,-0.009464772418141365
49,25,raíz,1,-0.05756164342164993,-0.014792898669838905
50,26,cuarto,0,-0.04600900039076805,0.04858282953500748
51,26,cuarto,1,0.013145177625119686,0.04509006813168526
52,27,medio,0,-0.10923780500888824,-0.09141749143600464
53,27,medio,1,-0.05371076241135597,-0.07485659420490265
54,28,cuenta,0,-0.05314217135310173,-0.04525812342762947
55,28,cuenta,1,-0.027897091582417488,-0.0138297900557518
56,29,nota,0,-0.11655320972204208,-0.09316258877515793
57,29,nota,1,-0.07913101464509964,-0.06510588526725769
58,30,órgano,0,-0.0822422206401825,-0.05328340455889702
59,30,órgano,1,-0.025055304169654846,0.016113074496388435
60,31,batería,0,-0.11754380911588669,-0.05971231684088707
61,31,batería,1,-0.020437033846974373,-0.026448728516697884
62,32,izquierda,0,-0.1432693600654602,-0.011726969853043556
63,32,izquierda,1,-0.07072620093822479,-0.06004384905099869
64,33,partido,0,-0.02472526580095291,-0.04902544617652893
65,33,partido,1,-0.06608816981315613,-0.04043065384030342
66,34,campaña,0,-0.09637270122766495,-0.08639536798000336
67,34,campaña,1,-0.13382971286773682,-0.14145295321941376
68,35,estado,0,-0.10095295310020447,-0.05730412155389786
69,35,estado,1,-0.04550366848707199,0.022601619362831116
70,36,pastor,0,-0.006563084200024605,-0.06539041548967361
71,36,pastor,1,-0.050203658640384674,-0.09747174382209778
72,37,oración,0,-0.03560652583837509,-0.01871073991060257
73,37,oración,1,-0.09008580446243286,-0.07648797333240509
74,38,función,0,-0.08850161731243134,-0.05914066731929779
75,38,función,1,-0.08976171910762787,-0.040011778473854065
76,39,obra,0,-0.06202917546033859,-0.021362734958529472
77,39,obra,1,-0.07521925121545792,-0.01922779157757759
78,40,plataforma,0,-0.018036555498838425,-0.01167091354727745
79,40,plataforma,1,-0.06896261870861053,-0.017158396542072296
80,41,viral,0,-0.11826245486736298,-0.09255171567201614
81,41,viral,1,-0.11812371015548706,-0.06341345608234406
82,42,red,0,-0.0558130145072937,-0.0017107725143432617
83,42,red,1,-0.03251964971423149,-0.03916487470269203
84,43,aplicación,0,-0.098453089594841,-0.05019363760948181
85,43,aplicación,1,-0.09696447104215622,-0.05006115138530731
86,44,expreso,0,0.026708127930760384,0.019694941118359566
87,44,expreso,1,-0.0924278050661087,-0.09927742183208466
88,45,móvil,0,-0.04392656311392784,-0.07124125957489014
89,45,móvil,1,-0.060428958386182785,-0.043025463819503784
90,46,metro,0,-0.05886448547244072,-0.05254090577363968
91,46,metro,1,-0.1543031930923462,-0.1271313726902008
92,47,estación,0,-0.09625555574893951,-0.08335914462804794
93,47,estación,1,-0.10132133215665817,-0.05326560139656067
