"indTarget","oracion","Sign1","Sign2","otro_sum_1","otro_sum_2","baseS1","baseS2","diff","umbral","diff_base1","diff_base2"
0,"Daniel observó la raya fijamente durante varios segundos.",0.454545454545455,0.775510204081633,0.109090909090909,0.122448979591837,0.326530612244898,0.489795918367347,0.320964749536178,FALSE,0.128014842300557,0.285714285714286
1,"A lo lejos pudo ver la llama moviéndose suavemente.",0.543478260869565,0.73469387755102,0.108695652173913,0.142857142857143,0.175438596491228,0.631578947368421,0.191215616681455,FALSE,0.368039664378337,0.103114930182599
2,"Paula le tenía mucho aprecio a la salamandra que le habían regalado.",0.478260869565217,0.805970149253731,0.0217391304347826,0.0447761194029851,0.153846153846154,0.807692307692308,0.327709279688514,TRUE,0.324414715719064,-0.00172215843857637
3,"Carla estaba agarrando su muñeca fuertemente cuando lo llamaron.",0.588235294117647,0.5,0.0392156862745098,0.04,0.467741935483871,0.483870967741935,0.0882352941176471,TRUE,0.120493358633776,0.0161290322580645
4,"Enzo movió la palma muy rápido para evitar que hiciera ruido.",0.76,0.407407407407407,0.06,0.111111111111111,0.777777777777778,0.148148148148148,0.352592592592593,TRUE,-0.0177777777777778,0.259259259259259
5,"Al llegar a destino notaron que el peso había bajado fuertemente.",0.51063829787234,0.727272727272727,0.127659574468085,0,0.274509803921569,0.647058823529412,0.216634429400387,TRUE,0.236128493950772,0.0802139037433155
6,"A Lara le gustaba ese banco porque le traía buenos recuerdos.",0.214285714285714,0.941176470588235,0.0238095238095238,0.0392156862745098,0.0338983050847458,0.932203389830508,0.726890756302521,TRUE,0.180387409200969,0.00897308075772685
7,"Miguel le dió la tarjeta en la mano a Elena.",0.5,0.826086956521739,0.232142857142857,0.0652173913043478,0.391304347826087,0.304347826086957,0.326086956521739,FALSE,0.108695652173913,0.521739130434783
8,"Al caer al suelo la granada se abrió y dejó caer lo que había en su interior.",0.88135593220339,0.381818181818182,0.0508474576271186,0.0363636363636364,0.580645161290323,0.306451612903226,0.499537750385208,TRUE,0.300710770913067,0.075366568914956
9,"Ana se acordó de comprar la lima de camino a su casa.",0.531914893617021,0.75,0.0638297872340425,0.0416666666666667,0.377049180327869,0.524590163934426,0.218085106382979,FALSE,0.154865713289152,0.225409836065574
