,fila,numContexto1,sesgoBase1,sesgoGen1,numContexto2,sesgoBase2,sesgoGen2
0,0,1,-0.10628470033407211,-0.055992476642131805,2,-0.08477555215358734,-0.05914995074272156
1,1,1,-0.10948923975229263,-0.09819988161325455,2,-0.028758035972714424,-0.03856156766414642
2,2,1,-0.08260994404554367,-0.04126519709825516,2,-0.13171233236789703,-0.11398859322071075
3,3,1,-0.020421767607331276,-0.021758142858743668,2,-0.057345159351825714,-0.05603715032339096
4,4,1,-0.01743275113403797,-0.014702358283102512,2,-0.0698290765285492,-0.051211364567279816
5,5,1,-0.07756799459457397,-0.04638805240392685,2,-0.013025429099798203,0.0019134264439344406
6,6,1,-0.1097373217344284,-0.11450789868831635,2,-0.13386091589927673,-0.11704733222723007
7,7,1,-0.13389459252357483,-0.12155482918024063,2,-0.16368073225021362,-0.13031673431396484
8,8,1,-0.14936679601669312,-0.14562830328941345,2,-0.10332433134317398,-0.09313870221376419
9,9,1,-0.10403351485729218,-0.039554156363010406,2,-0.12826664745807648,-0.09417708963155746
10,10,1,-0.08668295294046402,-0.059944067150354385,2,-0.07566353678703308,-0.05443570390343666
11,11,1,-0.09370991587638855,-0.09830377995967865,2,-0.06183934211730957,-0.06359227746725082
12,12,1,-0.09986253082752228,-0.08432913571596146,2,-0.04243101179599762,-0.03338875621557236
13,13,1,-0.08619312942028046,-0.07335683703422546,2,-0.015354793518781662,-0.021576065570116043
14,14,1,-0.13656967878341675,-0.13531330227851868,2,-0.08302262425422668,-0.06695522367954254
15,15,1,-0.14163345098495483,-0.1253439337015152,2,-0.030332695692777634,-0.028887225314974785
16,16,1,-0.13055512309074402,-0.09312942624092102,2,-0.05588274076581001,-0.0581195168197155
17,17,1,-0.05800747126340866,-0.02482769265770912,2,-0.05994646996259689,-0.048517219722270966
18,18,1,-0.12279290705919266,-0.10544373095035553,2,-0.1476333737373352,-0.14007776975631714
19,19,1,-0.013297290541231632,-0.0027265138924121857,2,-0.029347797855734825,-0.026473361998796463
20,20,1,-0.1447741687297821,-0.11820639669895172,2,-0.09966263175010681,-0.06954803317785263
21,21,1,-0.13112902641296387,-0.10963264107704163,2,-0.09481290727853775,-0.08342288434505463
22,22,1,-0.09914320707321167,-0.08434543758630753,2,-0.043918732553720474,-0.022467736154794693
23,23,1,-0.09994960576295853,-0.10858610272407532,2,-0.009426215663552284,0.006698241923004389
24,24,1,-0.0033491887152194977,0.07053256034851074,2,-0.0427112951874733,-0.027516759932041168
25,25,1,-0.10655710846185684,-0.0708247646689415,2,-0.08100183308124542,-0.03146316111087799
26,26,1,-0.07415050268173218,-0.047388434410095215,2,-0.033364150673151016,-0.04189659655094147
27,27,1,-0.011616049334406853,-0.0009680110961198807,2,-0.05409352853894234,-0.04919104278087616
28,28,1,-0.0550149530172348,-0.045269668102264404,2,-0.08750700950622559,-0.0846875011920929
29,29,1,-0.06103142350912094,-0.01798381842672825,2,-0.0828140527009964,-0.054265376180410385
30,30,1,-0.093148373067379,-0.011866666376590729,2,-0.023413486778736115,-0.01589525304734707
31,31,1,0.022615661844611168,0.12362927943468094,2,-0.08797386288642883,-0.10040679574012756
32,32,1,0.06106985732913017,0.02386799082159996,2,-0.042912498116493225,0.04068087786436081
33,33,1,0.07682020217180252,0.07033431529998779,2,-0.07779968529939651,-0.06387325376272202
34,34,1,-0.0025342432782053947,0.002222873270511627,2,-0.081664077937603,-0.026236463338136673
35,35,1,-0.08753761649131775,-0.08899866789579391,2,-0.10013164579868317,-0.11517813801765442
36,36,1,-0.04412926360964775,-0.04556528106331825,2,-0.14435219764709473,-0.14101843535900116
37,37,1,-0.033856190741062164,-0.008850888349115849,2,-0.02705688402056694,0.014802408404648304
38,38,1,-0.011491598561406136,-0.006257704924792051,2,-0.0769803524017334,-0.04704970121383667
39,39,1,-0.0730183869600296,-0.07237227261066437,2,-0.035065658390522,-0.02872030809521675
40,40,1,-0.12520816922187805,-0.11257438361644745,2,-0.12424255907535553,-0.09432099759578705
41,41,1,-0.08881764858961105,-0.04059572517871857,2,-0.049131058156490326,-0.04238974303007126
42,42,1,-0.03316722810268402,-0.044106997549533844,2,-0.0540265291929245,-0.0215272419154644
43,43,1,0.056477177888154984,0.039745502173900604,2,-0.06399983167648315,-0.068466417491436
44,44,1,-0.05593685060739517,-0.06501804292201996,2,-0.10687490552663803,-0.09714168310165405
45,45,1,-0.0012083519250154495,-0.003964535892009735,2,-0.11662432551383972,-0.09747013449668884
46,46,1,-0.0383404940366745,-0.01888909935951233,2,-0.02525048330426216,-0.008780494332313538
