,fila,numContexto1,sesgoBase1,sesgoGen1,numContexto2,sesgoBase2,sesgoGen2
0,0,1,0.021475449204444885,0.017385218292474747,2,-0.021755971014499664,-0.023539377376437187
1,1,1,-0.03719179332256317,-0.030370181426405907,2,-0.019850006327033043,-0.003784686326980591
2,2,1,-0.046918466687202454,-0.02806917019188404,2,-0.06696902960538864,-0.06389643251895905
3,3,1,0.014411069452762604,0.009538693353533745,2,-0.014195420779287815,-0.013611710630357265
4,4,1,0.03460518270730972,0.034584708511829376,2,0.019947800785303116,0.022425735369324684
5,5,1,-0.03300688788294792,-0.021758470684289932,2,0.044371284544467926,0.036795724183321
6,6,1,-0.04507795721292496,-0.03272895887494087,2,-0.06069143861532211,-0.06343472003936768
7,7,1,-0.053504690527915955,-0.06321556866168976,2,-0.007796015590429306,0.0027533359825611115
8,8,1,0.023130342364311218,0.03414708748459816,2,-0.011728789657354355,-0.012483217753469944
9,9,1,-0.00038369186222553253,-0.008131666108965874,2,-0.03319595009088516,-0.033559877425432205
10,10,1,-0.000776238739490509,0.0112752765417099,2,0.0156666561961174,0.01709875464439392
11,11,1,-0.02348661608994007,-0.035548120737075806,2,-0.048253245651721954,-0.033843159675598145
12,12,1,-0.027984829619526863,-0.02357429824769497,2,0.01885933056473732,0.013964090496301651
13,13,1,-0.019845709204673767,0.004711935296654701,2,0.006504276767373085,0.006257250905036926
14,14,1,-0.041157204657793045,-0.04094475507736206,2,0.010605242103338242,0.00640144944190979
15,15,1,-0.051483336836099625,-0.05634257197380066,2,-0.06358735263347626,-0.049718890339136124
16,16,1,-0.0046541281044483185,-0.0027655065059661865,2,0.020730989053845406,0.028978794813156128
17,17,1,0.0419812873005867,0.04094085097312927,2,0.0009706271812319756,0.001753347460180521
18,18,1,-0.04792691767215729,-0.044413354247808456,2,-0.0458998829126358,-0.04822935163974762
19,19,1,-0.0025649452582001686,0.00020203553140163422,2,-0.0009062923491001129,-0.012893140316009521
20,20,1,-0.10013066232204437,-0.09977290779352188,2,-0.050649240612983704,-0.039455100893974304
21,21,1,-0.03748135641217232,-0.04165977984666824,2,-0.031149916350841522,-0.0030368659645318985
22,22,1,-0.04076173156499863,-0.024135638028383255,2,-0.024934519082307816,-0.012333672493696213
23,23,1,0.008730951696634293,0.007920937612652779,2,0.036507777869701385,0.025814685970544815
24,24,1,0.029993465170264244,0.040819693356752396,2,-0.012813273817300797,-0.0020636729896068573
25,25,1,-0.05750439688563347,-0.08619238436222076,2,-0.037894006818532944,-0.05449935048818588
26,26,1,-0.02923099510371685,-0.03593875467777252,2,-0.035324886441230774,-0.053065985441207886
27,27,1,0.0025899168103933334,-0.007788623217493296,2,-0.03244466334581375,-0.02922295592725277
28,28,1,0.018660124391317368,0.01727423444390297,2,0.022087257355451584,0.02055608108639717
29,29,1,0.02830522134900093,0.06645824015140533,2,0.015315071679651737,0.015360856428742409
30,30,1,-0.030634939670562744,0.01036579068750143,2,-0.015541434288024902,0.00490773469209671
31,31,1,0.06747105717658997,0.13434511423110962,2,-0.056641947478055954,-0.03853125125169754
32,32,1,0.07380866259336472,0.07576848566532135,2,-0.0280228890478611,0.021788405254483223
33,33,1,0.09310181438922882,0.09012891352176666,2,-0.023146716877818108,-0.006549779325723648
34,34,1,-0.004393785260617733,0.00444544292986393,2,-0.0814688578248024,-0.08692413568496704
35,35,1,-0.018257228657603264,-0.01689964532852173,2,-0.04338197410106659,-0.043639954179525375
36,36,1,0.0033209342509508133,0.0008277855813503265,2,-0.05905621126294136,-0.05723236873745918
37,37,1,-0.0023733857087790966,0.03307674825191498,2,0.04315581172704697,0.034713100641965866
38,38,1,0.03183165565133095,0.0357288122177124,2,-0.04225124418735504,-0.04870810732245445
39,39,1,-0.026631947606801987,-0.015827912837266922,2,0.013596836477518082,0.056463804095983505
40,40,1,-0.08208048343658447,-0.06649567931890488,2,-0.0407637283205986,-0.03610203415155411
41,41,1,-0.0388750396668911,-0.006970332935452461,2,0.0074632614850997925,0.029210662469267845
42,42,1,-0.046731431037187576,-0.027747100219130516,2,-0.011992009356617928,-0.010839123278856277
43,43,1,0.03767640143632889,0.053143687546253204,2,-0.027518557384610176,-0.04203187674283981
44,44,1,-0.023937903344631195,-0.015359003096818924,2,-0.04063969850540161,-0.027894657105207443
45,45,1,-0.02088506519794464,-0.01295500434935093,2,-0.045408107340335846,-0.056955765932798386
46,46,1,0.026682637631893158,0.03473164141178131,2,0.0026050731539726257,0.024882422760128975
